City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,vorgashor,67.5833,63.95,261.93,96,100,6.95,RU,1712979608
211,jaisalmer,26.9147,70.9181,304.7,28,92,3.43,IN,1712979609
212,san antonio de pale,-1.4014,5.6325,301.53,81,100,5.69,GQ,1712979609
213,tejen,37.3834,60.5054,286.18,82,100,7.68,TM,1712979609
214,lompoc,34.6391,-120.4579,288.03,79,100,3.09,US,1712979610
215,trinity beach,-16.7888,145.6968,304.27,79,100,4.12,AU,1712979610
216,isafjordur,66.0755,-23.124,263.42,80,95,0.63,IS,1712979610
217,lazaro cardenas,17.9583,-102.2,298.34,82,71,0.69,MX,1712979610
218,horsham,51.064,-0.3272,285.62,84,0,1.03,GB,1712979489
219,khandyga,62.6667,135.6,263.91,78,100,2.2,RU,1712979611
220,laibin,23.7,109.2667,301.79,68,100,7.3,CN,1712979611
221,kapuskasing,49.4169,-82.4331,274.15,86,100,8.75,CA,1712979611
222,afaahiti,-17.75,-149.2833,301.08,74,99,9.99,PF,1712979612
223,kashgar,39.4547,75.9797,294.71,11,40,5.0,CN,1712979612
224,hammerfest,70.6634,23.6821,275.4,80,75,0.0,NO,1712979613
225,andratx,39.5755,2.4202,286.27,65,0,2.34,ES,1712979613
226,port alfred,-33.5906,26.891,287.51,75,67,2.44,ZA,1712979613
227,vuktyl,63.8567,57.3094,261.87,78,100,5.88,RU,1712979613
228,codrington,-38.2667,141.9667,291.13,60,100,4.45,AU,1712979614
229,zambezi,-13.5432,23.1047,291.89,97,100,2.75,ZM,1712979614
230,port augusta,-32.5,137.7667,295.01,38,0,3.52,AU,1712979615
231,shimoda,34.6667,138.95,292.35,63,100,5.34,JP,1712979615
232,el colorado,-26.3081,-59.3729,294.72,99,100,1.13,AR,1712979340
233,dalandzadgad,43.5708,104.425,283.5,25,66,18.13,MN,1712979615
234,bel ombre,-4.6167,55.4167,301.06,89,40,0.51,SC,1712979616
235,gelendzhik,44.5731,38.0747,287.5,78,85,2.24,RU,1712979481
236,nur-sultan,51.1801,71.446,279.12,61,20,8.0,KZ,1712979616
237,thunder bay,48.4001,-89.3168,277.14,60,0,4.12,CA,1712979617
238,susuman,62.7833,148.1667,268.7,82,100,2.68,RU,1712979617
239,medina,24.4686,39.6142,296.39,27,0,6.17,SA,1712979365
240,hasaki,35.7333,140.8333,294.42,69,53,7.89,JP,1712979618
241,alofi,-19.0595,-169.9187,303.09,74,20,2.57,NU,1712979618
242,itoman,26.1247,127.6694,300.36,92,75,4.63,JP,1712979618
243,north bay,46.3168,-79.4663,275.16,93,100,9.77,CA,1712979619
244,collingwood,44.4834,-80.2164,276.53,95,100,13.53,CA,1712979619
245,hirara,24.8,125.2833,299.3,83,75,3.09,JP,1712979620
246,suntar,62.1444,117.6319,264.93,78,100,2.75,RU,1712979620
247,sanctuary point,-35.1114,150.629,296.04,69,30,3.24,AU,1712979620
248,murghob,38.1702,73.9667,268.74,66,79,2.07,TJ,1712979621
249,buckeye,33.3703,-112.5838,300.87,15,0,6.64,US,1712979412
250,louiseville,46.2559,-72.9415,283.16,81,100,7.72,CA,1712979622
251,turpan,42.9333,89.1667,289.62,16,93,6.38,CN,1712979622
252,georgetown,5.4112,100.3354,305.12,66,20,1.54,MY,1712979622
253,weyburn,49.6668,-103.8511,285.27,35,50,7.72,CA,1712979394
254,mossel bay,-34.1831,22.146,283.11,75,6,4.12,ZA,1712979623
255,rutana,-3.8667,30.1,287.31,93,99,0.34,BI,1712979623
256,duragan,41.4158,35.0544,285.35,88,5,0.83,TR,1712979623
257,nova sintra,14.8667,-24.7167,295.72,82,53,9.9,CV,1712979624
258,mount pearl,47.5166,-52.7813,279.44,88,100,8.23,CA,1712979624
259,aykhal,66.0,111.5,259.78,79,57,5.75,RU,1712979624
260,gamboma,-1.8764,15.8644,296.51,95,100,1.16,CG,1712979625
261,nabire,-3.3667,135.4833,299.0,92,100,0.66,ID,1712979625
262,sao tome,0.3365,6.7273,300.76,83,97,2.77,ST,1712979625
263,lebu,-37.6167,-73.65,284.37,82,5,3.94,CL,1712979626
264,kapa'a,22.0752,-159.319,300.14,78,75,5.66,US,1712979417
265,sorong,-0.8833,131.25,302.06,72,64,2.28,ID,1712979626
266,ko pha ngan,9.7578,100.0291,303.53,74,86,6.1,TH,1712979627
267,letlhakeng,-24.0944,25.0298,287.76,78,14,4.02,BW,1712979627
268,klyuchi,52.2667,79.1667,278.66,56,100,7.38,RU,1712979627
